FileName_AA,FileName_BF,FileName_DA,FileName_DD,FileName_ED,FileName_MB,ImageNumber,Metadata_batch,Metadata_hour,Metadata_label,Metadata_time
clMcf7_exp20240515_h6_b14_ic0_cAA.tif,clMcf7_exp20240515_h6_b14_ic0_cBF.tif,clMcf7_exp20240515_h6_b14_ic0_cDA.tif,clMcf7_exp20240515_h6_b14_ic0_cDD.tif,clMcf7_exp20240515_h6_b14_ic0_cED.tif,clMcf7_exp20240515_h6_b14_ic0_cMB.tif,11,14,6,0,20240515
clMcf7_exp20240515_h6_b14_ic1_cAA.tif,clMcf7_exp20240515_h6_b14_ic1_cBF.tif,clMcf7_exp20240515_h6_b14_ic1_cDA.tif,clMcf7_exp20240515_h6_b14_ic1_cDD.tif,clMcf7_exp20240515_h6_b14_ic1_cED.tif,clMcf7_exp20240515_h6_b14_ic1_cMB.tif,12,14,6,1,20240515
clMcf7_exp20240515_h6_b15_ic0_cAA.tif,clMcf7_exp20240515_h6_b15_ic0_cBF.tif,clMcf7_exp20240515_h6_b15_ic0_cDA.tif,clMcf7_exp20240515_h6_b15_ic0_cDD.tif,clMcf7_exp20240515_h6_b15_ic0_cED.tif,clMcf7_exp20240515_h6_b15_ic0_cMB.tif,13,15,6,0,20240515
clMcf7_exp20240515_h6_b15_ic1_cAA.tif,clMcf7_exp20240515_h6_b15_ic1_cBF.tif,clMcf7_exp20240515_h6_b15_ic1_cDA.tif,clMcf7_exp20240515_h6_b15_ic1_cDD.tif,clMcf7_exp20240515_h6_b15_ic1_cED.tif,clMcf7_exp20240515_h6_b15_ic1_cMB.tif,14,15,6,1,20240515
clMcf7_exp20240515_h6_b16_ic0_cAA.tif,clMcf7_exp20240515_h6_b16_ic0_cBF.tif,clMcf7_exp20240515_h6_b16_ic0_cDA.tif,clMcf7_exp20240515_h6_b16_ic0_cDD.tif,clMcf7_exp20240515_h6_b16_ic0_cED.tif,clMcf7_exp20240515_h6_b16_ic0_cMB.tif,15,16,6,0,20240515
clMcf7_exp20240515_h6_b16_ic1_cAA.tif,clMcf7_exp20240515_h6_b16_ic1_cBF.tif,clMcf7_exp20240515_h6_b16_ic1_cDA.tif,clMcf7_exp20240515_h6_b16_ic1_cDD.tif,clMcf7_exp20240515_h6_b16_ic1_cED.tif,clMcf7_exp20240515_h6_b16_ic1_cMB.tif,16,16,6,1,20240515
clMcf7_exp20240515_h6_b17_ic0_cAA.tif,clMcf7_exp20240515_h6_b17_ic0_cBF.tif,clMcf7_exp20240515_h6_b17_ic0_cDA.tif,clMcf7_exp20240515_h6_b17_ic0_cDD.tif,clMcf7_exp20240515_h6_b17_ic0_cED.tif,clMcf7_exp20240515_h6_b17_ic0_cMB.tif,17,17,6,0,20240515
clMcf7_exp20240515_h6_b17_ic1_cAA.tif,clMcf7_exp20240515_h6_b17_ic1_cBF.tif,clMcf7_exp20240515_h6_b17_ic1_cDA.tif,clMcf7_exp20240515_h6_b17_ic1_cDD.tif,clMcf7_exp20240515_h6_b17_ic1_cED.tif,clMcf7_exp20240515_h6_b17_ic1_cMB.tif,18,17,6,1,20240515
clMcf7_exp20240515_h6_b18_ic0_cAA.tif,clMcf7_exp20240515_h6_b18_ic0_cBF.tif,clMcf7_exp20240515_h6_b18_ic0_cDA.tif,clMcf7_exp20240515_h6_b18_ic0_cDD.tif,clMcf7_exp20240515_h6_b18_ic0_cED.tif,clMcf7_exp20240515_h6_b18_ic0_cMB.tif,19,18,6,0,20240515
clMcf7_exp20240515_h6_b18_ic1_cAA.tif,clMcf7_exp20240515_h6_b18_ic1_cBF.tif,clMcf7_exp20240515_h6_b18_ic1_cDA.tif,clMcf7_exp20240515_h6_b18_ic1_cDD.tif,clMcf7_exp20240515_h6_b18_ic1_cED.tif,clMcf7_exp20240515_h6_b18_ic1_cMB.tif,20,18,6,1,20240515
clMcf7_exp20240515_h6_b19_ic0_cAA.tif,clMcf7_exp20240515_h6_b19_ic0_cBF.tif,clMcf7_exp20240515_h6_b19_ic0_cDA.tif,clMcf7_exp20240515_h6_b19_ic0_cDD.tif,clMcf7_exp20240515_h6_b19_ic0_cED.tif,clMcf7_exp20240515_h6_b19_ic0_cMB.tif,21,19,6,0,20240515
clMcf7_exp20240515_h6_b19_ic1_cAA.tif,clMcf7_exp20240515_h6_b19_ic1_cBF.tif,clMcf7_exp20240515_h6_b19_ic1_cDA.tif,clMcf7_exp20240515_h6_b19_ic1_cDD.tif,clMcf7_exp20240515_h6_b19_ic1_cED.tif,clMcf7_exp20240515_h6_b19_ic1_cMB.tif,22,19,6,1,20240515
clMcf7_exp20240515_h6_b1_ic0_cAA.tif,clMcf7_exp20240515_h6_b1_ic0_cBF.tif,clMcf7_exp20240515_h6_b1_ic0_cDA.tif,clMcf7_exp20240515_h6_b1_ic0_cDD.tif,clMcf7_exp20240515_h6_b1_ic0_cED.tif,clMcf7_exp20240515_h6_b1_ic0_cMB.tif,23,1,6,0,20240515
clMcf7_exp20240515_h6_b1_ic1_cAA.tif,clMcf7_exp20240515_h6_b1_ic1_cBF.tif,clMcf7_exp20240515_h6_b1_ic1_cDA.tif,clMcf7_exp20240515_h6_b1_ic1_cDD.tif,clMcf7_exp20240515_h6_b1_ic1_cED.tif,clMcf7_exp20240515_h6_b1_ic1_cMB.tif,24,1,6,1,20240515
clMcf7_exp20240515_h6_b20_ic0_cAA.tif,clMcf7_exp20240515_h6_b20_ic0_cBF.tif,clMcf7_exp20240515_h6_b20_ic0_cDA.tif,clMcf7_exp20240515_h6_b20_ic0_cDD.tif,clMcf7_exp20240515_h6_b20_ic0_cED.tif,clMcf7_exp20240515_h6_b20_ic0_cMB.tif,25,20,6,0,20240515
clMcf7_exp20240515_h6_b20_ic1_cAA.tif,clMcf7_exp20240515_h6_b20_ic1_cBF.tif,clMcf7_exp20240515_h6_b20_ic1_cDA.tif,clMcf7_exp20240515_h6_b20_ic1_cDD.tif,clMcf7_exp20240515_h6_b20_ic1_cED.tif,clMcf7_exp20240515_h6_b20_ic1_cMB.tif,26,20,6,1,20240515
clMcf7_exp20240515_h6_b21_ic0_cAA.tif,clMcf7_exp20240515_h6_b21_ic0_cBF.tif,clMcf7_exp20240515_h6_b21_ic0_cDA.tif,clMcf7_exp20240515_h6_b21_ic0_cDD.tif,clMcf7_exp20240515_h6_b21_ic0_cED.tif,clMcf7_exp20240515_h6_b21_ic0_cMB.tif,27,21,6,0,20240515
clMcf7_exp20240515_h6_b21_ic1_cAA.tif,clMcf7_exp20240515_h6_b21_ic1_cBF.tif,clMcf7_exp20240515_h6_b21_ic1_cDA.tif,clMcf7_exp20240515_h6_b21_ic1_cDD.tif,clMcf7_exp20240515_h6_b21_ic1_cED.tif,clMcf7_exp20240515_h6_b21_ic1_cMB.tif,28,21,6,1,20240515
clMcf7_exp20240515_h6_b22_ic0_cAA.tif,clMcf7_exp20240515_h6_b22_ic0_cBF.tif,clMcf7_exp20240515_h6_b22_ic0_cDA.tif,clMcf7_exp20240515_h6_b22_ic0_cDD.tif,clMcf7_exp20240515_h6_b22_ic0_cED.tif,clMcf7_exp20240515_h6_b22_ic0_cMB.tif,29,22,6,0,20240515
clMcf7_exp20240515_h6_b22_ic1_cAA.tif,clMcf7_exp20240515_h6_b22_ic1_cBF.tif,clMcf7_exp20240515_h6_b22_ic1_cDA.tif,clMcf7_exp20240515_h6_b22_ic1_cDD.tif,clMcf7_exp20240515_h6_b22_ic1_cED.tif,clMcf7_exp20240515_h6_b22_ic1_cMB.tif,30,22,6,1,20240515
clMcf7_exp20240515_h6_b23_ic1_cAA.tif,clMcf7_exp20240515_h6_b23_ic1_cBF.tif,clMcf7_exp20240515_h6_b23_ic1_cDA.tif,clMcf7_exp20240515_h6_b23_ic1_cDD.tif,clMcf7_exp20240515_h6_b23_ic1_cED.tif,clMcf7_exp20240515_h6_b23_ic1_cMB.tif,31,23,6,1,20240515
clMcf7_exp20240515_h6_b24_ic1_cAA.tif,clMcf7_exp20240515_h6_b24_ic1_cBF.tif,clMcf7_exp20240515_h6_b24_ic1_cDA.tif,clMcf7_exp20240515_h6_b24_ic1_cDD.tif,clMcf7_exp20240515_h6_b24_ic1_cED.tif,clMcf7_exp20240515_h6_b24_ic1_cMB.tif,32,24,6,1,20240515
clMcf7_exp20240515_h6_b25_ic1_cAA.tif,clMcf7_exp20240515_h6_b25_ic1_cBF.tif,clMcf7_exp20240515_h6_b25_ic1_cDA.tif,clMcf7_exp20240515_h6_b25_ic1_cDD.tif,clMcf7_exp20240515_h6_b25_ic1_cED.tif,clMcf7_exp20240515_h6_b25_ic1_cMB.tif,33,25,6,1,20240515
clMcf7_exp20240515_h6_b26_ic1_cAA.tif,clMcf7_exp20240515_h6_b26_ic1_cBF.tif,clMcf7_exp20240515_h6_b26_ic1_cDA.tif,clMcf7_exp20240515_h6_b26_ic1_cDD.tif,clMcf7_exp20240515_h6_b26_ic1_cED.tif,clMcf7_exp20240515_h6_b26_ic1_cMB.tif,34,26,6,1,20240515
clMcf7_exp20240515_h6_b27_ic1_cAA.tif,clMcf7_exp20240515_h6_b27_ic1_cBF.tif,clMcf7_exp20240515_h6_b27_ic1_cDA.tif,clMcf7_exp20240515_h6_b27_ic1_cDD.tif,clMcf7_exp20240515_h6_b27_ic1_cED.tif,clMcf7_exp20240515_h6_b27_ic1_cMB.tif,35,27,6,1,20240515
clMcf7_exp20240515_h6_b28_ic1_cAA.tif,clMcf7_exp20240515_h6_b28_ic1_cBF.tif,clMcf7_exp20240515_h6_b28_ic1_cDA.tif,clMcf7_exp20240515_h6_b28_ic1_cDD.tif,clMcf7_exp20240515_h6_b28_ic1_cED.tif,clMcf7_exp20240515_h6_b28_ic1_cMB.tif,36,28,6,1,20240515
clMcf7_exp20240515_h6_b29_ic1_cAA.tif,clMcf7_exp20240515_h6_b29_ic1_cBF.tif,clMcf7_exp20240515_h6_b29_ic1_cDA.tif,clMcf7_exp20240515_h6_b29_ic1_cDD.tif,clMcf7_exp20240515_h6_b29_ic1_cED.tif,clMcf7_exp20240515_h6_b29_ic1_cMB.tif,37,29,6,1,20240515
clMcf7_exp20240515_h6_b2_ic0_cAA.tif,clMcf7_exp20240515_h6_b2_ic0_cBF.tif,clMcf7_exp20240515_h6_b2_ic0_cDA.tif,clMcf7_exp20240515_h6_b2_ic0_cDD.tif,clMcf7_exp20240515_h6_b2_ic0_cED.tif,clMcf7_exp20240515_h6_b2_ic0_cMB.tif,38,2,6,0,20240515
clMcf7_exp20240515_h6_b2_ic1_cAA.tif,clMcf7_exp20240515_h6_b2_ic1_cBF.tif,clMcf7_exp20240515_h6_b2_ic1_cDA.tif,clMcf7_exp20240515_h6_b2_ic1_cDD.tif,clMcf7_exp20240515_h6_b2_ic1_cED.tif,clMcf7_exp20240515_h6_b2_ic1_cMB.tif,39,2,6,1,20240515
clMcf7_exp20240515_h6_b3_ic0_cAA.tif,clMcf7_exp20240515_h6_b3_ic0_cBF.tif,clMcf7_exp20240515_h6_b3_ic0_cDA.tif,clMcf7_exp20240515_h6_b3_ic0_cDD.tif,clMcf7_exp20240515_h6_b3_ic0_cED.tif,clMcf7_exp20240515_h6_b3_ic0_cMB.tif,40,3,6,0,20240515
clMcf7_exp20240515_h6_b3_ic1_cAA.tif,clMcf7_exp20240515_h6_b3_ic1_cBF.tif,clMcf7_exp20240515_h6_b3_ic1_cDA.tif,clMcf7_exp20240515_h6_b3_ic1_cDD.tif,clMcf7_exp20240515_h6_b3_ic1_cED.tif,clMcf7_exp20240515_h6_b3_ic1_cMB.tif,41,3,6,1,20240515
clMcf7_exp20240515_h6_b4_ic0_cAA.tif,clMcf7_exp20240515_h6_b4_ic0_cBF.tif,clMcf7_exp20240515_h6_b4_ic0_cDA.tif,clMcf7_exp20240515_h6_b4_ic0_cDD.tif,clMcf7_exp20240515_h6_b4_ic0_cED.tif,clMcf7_exp20240515_h6_b4_ic0_cMB.tif,42,4,6,0,20240515
clMcf7_exp20240515_h6_b4_ic1_cAA.tif,clMcf7_exp20240515_h6_b4_ic1_cBF.tif,clMcf7_exp20240515_h6_b4_ic1_cDA.tif,clMcf7_exp20240515_h6_b4_ic1_cDD.tif,clMcf7_exp20240515_h6_b4_ic1_cED.tif,clMcf7_exp20240515_h6_b4_ic1_cMB.tif,43,4,6,1,20240515
clMcf7_exp20240515_h6_b5_ic0_cAA.tif,clMcf7_exp20240515_h6_b5_ic0_cBF.tif,clMcf7_exp20240515_h6_b5_ic0_cDA.tif,clMcf7_exp20240515_h6_b5_ic0_cDD.tif,clMcf7_exp20240515_h6_b5_ic0_cED.tif,clMcf7_exp20240515_h6_b5_ic0_cMB.tif,44,5,6,0,20240515
clMcf7_exp20240515_h6_b5_ic1_cAA.tif,clMcf7_exp20240515_h6_b5_ic1_cBF.tif,clMcf7_exp20240515_h6_b5_ic1_cDA.tif,clMcf7_exp20240515_h6_b5_ic1_cDD.tif,clMcf7_exp20240515_h6_b5_ic1_cED.tif,clMcf7_exp20240515_h6_b5_ic1_cMB.tif,45,5,6,1,20240515
clMcf7_exp20240515_h6_b6_ic0_cAA.tif,clMcf7_exp20240515_h6_b6_ic0_cBF.tif,clMcf7_exp20240515_h6_b6_ic0_cDA.tif,clMcf7_exp20240515_h6_b6_ic0_cDD.tif,clMcf7_exp20240515_h6_b6_ic0_cED.tif,clMcf7_exp20240515_h6_b6_ic0_cMB.tif,46,6,6,0,20240515
clMcf7_exp20240515_h6_b6_ic1_cAA.tif,clMcf7_exp20240515_h6_b6_ic1_cBF.tif,clMcf7_exp20240515_h6_b6_ic1_cDA.tif,clMcf7_exp20240515_h6_b6_ic1_cDD.tif,clMcf7_exp20240515_h6_b6_ic1_cED.tif,clMcf7_exp20240515_h6_b6_ic1_cMB.tif,47,6,6,1,20240515
clMcf7_exp20240515_h6_b7_ic0_cAA.tif,clMcf7_exp20240515_h6_b7_ic0_cBF.tif,clMcf7_exp20240515_h6_b7_ic0_cDA.tif,clMcf7_exp20240515_h6_b7_ic0_cDD.tif,clMcf7_exp20240515_h6_b7_ic0_cED.tif,clMcf7_exp20240515_h6_b7_ic0_cMB.tif,48,7,6,0,20240515
clMcf7_exp20240515_h6_b7_ic1_cAA.tif,clMcf7_exp20240515_h6_b7_ic1_cBF.tif,clMcf7_exp20240515_h6_b7_ic1_cDA.tif,clMcf7_exp20240515_h6_b7_ic1_cDD.tif,clMcf7_exp20240515_h6_b7_ic1_cED.tif,clMcf7_exp20240515_h6_b7_ic1_cMB.tif,49,7,6,1,20240515
clMcf7_exp20240515_h6_b8_ic0_cAA.tif,clMcf7_exp20240515_h6_b8_ic0_cBF.tif,clMcf7_exp20240515_h6_b8_ic0_cDA.tif,clMcf7_exp20240515_h6_b8_ic0_cDD.tif,clMcf7_exp20240515_h6_b8_ic0_cED.tif,clMcf7_exp20240515_h6_b8_ic0_cMB.tif,50,8,6,0,20240515
clMcf7_exp20240515_h6_b8_ic1_cAA.tif,clMcf7_exp20240515_h6_b8_ic1_cBF.tif,clMcf7_exp20240515_h6_b8_ic1_cDA.tif,clMcf7_exp20240515_h6_b8_ic1_cDD.tif,clMcf7_exp20240515_h6_b8_ic1_cED.tif,clMcf7_exp20240515_h6_b8_ic1_cMB.tif,51,8,6,1,20240515
clMcf7_exp20240515_h6_b9_ic0_cAA.tif,clMcf7_exp20240515_h6_b9_ic0_cBF.tif,clMcf7_exp20240515_h6_b9_ic0_cDA.tif,clMcf7_exp20240515_h6_b9_ic0_cDD.tif,clMcf7_exp20240515_h6_b9_ic0_cED.tif,clMcf7_exp20240515_h6_b9_ic0_cMB.tif,52,9,6,0,20240515
clMcf7_exp20240515_h6_b9_ic1_cAA.tif,clMcf7_exp20240515_h6_b9_ic1_cBF.tif,clMcf7_exp20240515_h6_b9_ic1_cDA.tif,clMcf7_exp20240515_h6_b9_ic1_cDD.tif,clMcf7_exp20240515_h6_b9_ic1_cED.tif,clMcf7_exp20240515_h6_b9_ic1_cMB.tif,53,9,6,1,20240515
